category_top,ab_group,sessions,conversions,gross_revenue,discount_cost,net_revenue_b,conversion_rate_b,revenue_per_session,segment_type,price_bucket,user_type,net_revenue_a,conversion_rate_a,incremental_net_revenue,conv_lift_pp,net_profit_impact,verdict
accessories,B,1309,249,10795.2,2159.04,8636.16,0.19022154316271964,6.597524828113063,category_top,,,1092.77,0.01770592763664357,7543.389999999999,17.251561552607605,5384.349999999999,Profitable
apparel,B,794,234,3648.75,729.75,2919.0,0.2947103274559194,3.6763224181360203,category_top,,,1727.8500000000001,0.0575,1191.1499999999999,23.72103274559194,461.39999999999986,Profitable
appliances,B,5276,1038,55202.65,10873.212000000001,44329.438,0.1967399545109932,8.402092115238817,category_top,,,9326.87,0.023982558139534885,35002.568,17.275739637145833,24129.356,Profitable
furniture,B,1648,291,29138.13,5277.156,23860.974,0.17657766990291263,14.4787463592233,category_top,,,2472.52,0.020871700429711478,21388.453999999998,15.570596947320114,16111.297999999999,Profitable
stationery,B,1049,304,2614.22,522.844,2091.376,0.2897998093422307,1.9936854146806484,category_top,,,1864.72,0.07162284678150499,226.65600000000018,21.817696256072573,-296.1879999999999,Loss
unknown,B,406695,99913,1590323.2,316030.384,1274292.816,0.24567058852457002,3.1332886216943905,category_top,,,519542.13,0.03388660210922112,754750.6860000001,21.17839864153489,438720.3020000001,Profitable
,B,11012,1423,225251.95,43199.04,182052.91,0.12922266618234654,16.53222938612423,price_bucket,$100-$300,,38310.29,0.025421507818642438,143742.62,10.38011583637041,100543.57999999999,Profitable
,B,48116,9948,526797.47,105010.97200000001,421786.498,0.20675035331282735,8.766034125862499,price_bucket,$25-$100,,137974.6,0.04411734557904016,283811.89800000004,16.26330077337872,178800.92600000004,Profitable
,B,231,11,2668.1899999999996,422.406,2245.7839999999997,0.047619047619047616,9.722008658008656,price_bucket,$300-$1k,,1379.15,0.03636363636363636,866.6339999999996,1.1255411255411254,444.22799999999955,Profitable
,B,356483,90464,937004.54,186959.96800000002,750044.572,0.25376806187111306,2.1040121744935947,price_bucket,<$25,,358362.82,0.03288533425097754,391681.75200000004,22.088272762013553,204721.784,Profitable
,B,929,183,0.0,0.0,0.0,0.1969860064585576,0.0,price_bucket,nan,,0.0,0.0,0.0,19.69860064585576,0.0,Break-Even
,B,125184,36234,589487.19,117092.27600000001,472394.914,0.2894459355828221,3.773604566078732,user_type,,New,111879.77,0.026675351911283403,360515.144,26.27705836715387,243422.86799999996,Profitable
,B,291587,65795,1102234.96,218500.11000000002,883734.85,0.2256444903236427,3.030775891929338,user_type,,Returning,424147.09,0.036819084149254735,459587.75999999995,18.8825406174388,241087.64999999994,Profitable
accessories,B,1,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,$100-$300,,20.29,0.2,-20.29,-20.0,-20.29,Break-Even
accessories,B,1172,210,10229.97,2045.9940000000001,8183.976,0.17918088737201365,6.982914675767918,category_top+price_bucket,$25-$100,,971.62,0.01517706576728499,7212.356,16.400382160472866,5166.361999999999,Profitable
accessories,B,1,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,$300-$1k,,,,,,,Loss
accessories,B,128,38,565.23,113.04599999999999,452.18399999999997,0.296875,3.5326874999999998,category_top+price_bucket,<$25,,100.86,0.0380952380952381,351.32399999999996,25.877976190476193,238.27799999999996,Profitable
accessories,B,7,1,0.0,0.0,0.0,0.14285714285714285,0.0,category_top+price_bucket,nan,,0.0,0.0,0.0,14.285714285714285,0.0,Break-Even
apparel,B,3,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,$100-$300,,0.0,0.0,0.0,0.0,0.0,Break-Even
apparel,B,16,8,522.64,104.528,418.112,0.5,26.132,category_top+price_bucket,$25-$100,,303.76,0.35714285714285715,114.35200000000003,14.285714285714285,9.824000000000026,Profitable
apparel,B,774,226,3126.11,625.222,2500.888,0.29198966408268734,3.2311214470284235,category_top+price_bucket,<$25,,1424.0900000000001,0.05345501955671447,1076.7979999999998,23.853464452597287,451.5759999999998,Profitable
apparel,B,1,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,nan,,0.0,0.0,0.0,0.0,0.0,Break-Even
appliances,B,92,21,3001.74,530.636,2471.104,0.22826086956521738,26.85982608695652,category_top+price_bucket,$100-$300,,2160.71,0.11926605504587157,310.3939999999998,10.899481451934582,-220.2420000000002,Loss
appliances,B,3907,712,46207.06,9143.806,37063.254,0.18223701049398516,9.486371640644997,category_top+price_bucket,$25-$100,,6170.41,0.021364408837096383,30892.844,16.08726016568888,21749.038,Profitable
appliances,B,1,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,$300-$1k,,0.0,0.0,0.0,0.0,0.0,Break-Even
appliances,B,1272,304,5993.85,1198.7700000000002,4795.08,0.2389937106918239,3.7697169811320754,category_top+price_bucket,<$25,,995.75,0.02448657187993681,3799.33,21.45071388118871,2600.5599999999995,Profitable
appliances,B,4,1,0.0,0.0,0.0,0.25,0.0,category_top+price_bucket,nan,,0.0,0.0,0.0,25.0,0.0,Break-Even
furniture,B,551,68,18494.64,3148.458,15346.182,0.12341197822141561,27.85150998185118,category_top+price_bucket,$100-$300,,1169.12,0.008077544426494346,14177.062000000002,11.533443379492127,11028.604000000001,Profitable
furniture,B,751,127,9248.82,1849.7640000000001,7399.0560000000005,0.16910785619174434,9.852271637816246,category_top+price_bucket,$25-$100,,847.09,0.018518518518518517,6551.966,15.058933767322582,4702.202,Profitable
furniture,B,344,96,1394.67,278.934,1115.736,0.27906976744186046,3.243418604651163,category_top+price_bucket,<$25,,456.31,0.05245901639344262,659.4260000000002,22.661075104841782,380.49200000000013,Profitable
furniture,B,2,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,nan,,0.0,0.0,0.0,0.0,0.0,Break-Even
stationery,B,1,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,$100-$300,,13.38,0.3333333333333333,-13.38,-33.33333333333333,-13.38,Break-Even
stationery,B,34,6,298.49,59.698,238.792,0.17647058823529413,7.023294117647059,category_top+price_bucket,$25-$100,,309.2,0.32,-70.40799999999999,-14.352941176470587,-130.106,Loss
stationery,B,1014,298,2315.73,463.146,1852.584,0.2938856015779093,1.8270059171597635,category_top+price_bucket,<$25,,1542.14,0.06511627906976744,310.44399999999996,22.876932250814182,-152.70200000000006,Loss
unknown,B,10364,1334,203755.57,39519.946,164235.624,0.12871478193747588,15.846741026630646,category_top+price_bucket,$100-$300,,34946.79,0.025305817536651416,129288.834,10.340896440082446,89768.888,Profitable
unknown,B,42236,8885,460290.49,91807.182,368483.308,0.21036556492092054,8.724389336111374,category_top+price_bucket,$25-$100,,129372.52,0.04727025951840498,239110.788,16.309530540251554,147303.606,Profitable
unknown,B,229,11,2668.1899999999996,422.406,2245.7839999999997,0.048034934497816595,9.806917030567684,category_top+price_bucket,$300-$1k,,1379.15,0.03669724770642202,866.6339999999996,1.1337686791394574,444.22799999999955,Profitable
unknown,B,352951,89502,923608.95,184280.85,739328.1,0.25358194196928185,2.094704647387314,category_top+price_bucket,<$25,,353843.67,0.03275555244167309,385484.43,22.082638952760878,201203.58,Profitable
unknown,B,915,181,0.0,0.0,0.0,0.19781420765027322,0.0,category_top+price_bucket,nan,,0.0,0.0,0.0,19.78142076502732,0.0,Break-Even
