category_top,ab_group,sessions,conversions,gross_revenue,discount_cost,net_revenue,conversion_rate,revenue_per_session,segment_type,price_bucket,user_type
accessories,A,1299,23,1092.77,0.0,1092.77,0.01770592763664357,0.841239414934565,category_top,,
accessories,B,1309,249,10795.2,2159.04,8636.16,0.19022154316271964,6.597524828113063,category_top,,
apparel,A,800,46,1727.8500000000001,0.0,1727.8500000000001,0.0575,2.1598125,category_top,,
apparel,B,794,234,3648.75,729.75,2919.0,0.2947103274559194,3.6763224181360203,category_top,,
appliances,A,5504,132,9326.87,0.0,9326.87,0.023982558139534885,1.6945621366279071,category_top,,
appliances,B,5276,1038,55202.65,10873.212000000001,44329.438,0.1967399545109932,8.402092115238817,category_top,,
furniture,A,1629,34,2472.52,0.0,2472.52,0.020871700429711478,1.5178146101903007,category_top,,
furniture,B,1648,291,29138.13,5277.156,23860.974,0.17657766990291263,14.4787463592233,category_top,,
stationery,A,1103,79,1864.72,0.0,1864.72,0.07162284678150499,1.6905893019038984,category_top,,
stationery,B,1049,304,2614.22,522.844,2091.376,0.2897998093422307,1.9936854146806484,category_top,,
unknown,A,412759,13987,519542.13,0.0,519542.13,0.03388660210922112,1.2587057580815924,category_top,,
unknown,B,406695,99913,1590323.2,316030.384,1274292.816,0.24567058852457002,3.1332886216943905,category_top,,
,A,11447,291,38310.29,0.0,38310.29,0.025421507818642438,3.346753734602953,price_bucket,$100-$300,
,B,11012,1423,225251.95,43199.04,182052.91,0.12922266618234654,16.53222938612423,price_bucket,$100-$300,
,A,48779,2152,137974.6,0.0,137974.6,0.04411734557904016,2.828565571249923,price_bucket,$25-$100,
,B,48116,9948,526797.47,105010.97200000001,421786.498,0.20675035331282735,8.766034125862499,price_bucket,$25-$100,
,A,220,8,1379.15,0.0,1379.15,0.03636363636363636,6.268863636363637,price_bucket,$300-$1k,
,B,231,11,2668.1899999999996,422.406,2245.7839999999997,0.047619047619047616,9.722008658008656,price_bucket,$300-$1k,
,A,360343,11850,358362.82,0.0,358362.82,0.03288533425097754,0.9945047357656456,price_bucket,<$25,
,B,356483,90464,937004.54,186959.96800000002,750044.572,0.25376806187111306,2.1040121744935947,price_bucket,<$25,
,A,2305,0,0.0,0.0,0.0,0.0,0.0,price_bucket,nan,
,B,929,183,0.0,0.0,0.0,0.1969860064585576,0.0,price_bucket,nan,
,A,125884,3358,111879.77,0.0,111879.77,0.026675351911283403,0.888752899494773,user_type,,New
,B,125184,36234,589487.19,117092.27600000001,472394.914,0.2894459355828221,3.773604566078732,user_type,,New
,A,297210,10943,424147.09,0.0,424147.09,0.036819084149254735,1.4270956226237341,user_type,,Returning
,B,291587,65795,1102234.96,218500.11000000002,883734.85,0.2256444903236427,3.030775891929338,user_type,,Returning
accessories,A,5,1,20.29,0.0,20.29,0.2,4.058,category_top+price_bucket,$100-$300,
accessories,B,1,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,$100-$300,
accessories,A,1186,18,971.62,0.0,971.62,0.01517706576728499,0.8192411467116357,category_top+price_bucket,$25-$100,
accessories,B,1172,210,10229.97,2045.9940000000001,8183.976,0.17918088737201365,6.982914675767918,category_top+price_bucket,$25-$100,
accessories,B,1,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,$300-$1k,
accessories,A,105,4,100.86,0.0,100.86,0.0380952380952381,0.9605714285714285,category_top+price_bucket,<$25,
accessories,B,128,38,565.23,113.04599999999999,452.18399999999997,0.296875,3.5326874999999998,category_top+price_bucket,<$25,
accessories,A,3,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,nan,
accessories,B,7,1,0.0,0.0,0.0,0.14285714285714285,0.0,category_top+price_bucket,nan,
apparel,A,2,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,$100-$300,
apparel,B,3,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,$100-$300,
apparel,A,14,5,303.76,0.0,303.76,0.35714285714285715,21.697142857142858,category_top+price_bucket,$25-$100,
apparel,B,16,8,522.64,104.528,418.112,0.5,26.132,category_top+price_bucket,$25-$100,
apparel,A,767,41,1424.0900000000001,0.0,1424.0900000000001,0.05345501955671447,1.8567014341590615,category_top+price_bucket,<$25,
apparel,B,774,226,3126.11,625.222,2500.888,0.29198966408268734,3.2311214470284235,category_top+price_bucket,<$25,
apparel,A,17,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,nan,
apparel,B,1,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,nan,
appliances,A,109,13,2160.71,0.0,2160.71,0.11926605504587157,19.82302752293578,category_top+price_bucket,$100-$300,
appliances,B,92,21,3001.74,530.636,2471.104,0.22826086956521738,26.85982608695652,category_top+price_bucket,$100-$300,
appliances,A,4119,88,6170.41,0.0,6170.41,0.021364408837096383,1.498035931051226,category_top+price_bucket,$25-$100,
appliances,B,3907,712,46207.06,9143.806,37063.254,0.18223701049398516,9.486371640644997,category_top+price_bucket,$25-$100,
appliances,A,2,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,$300-$1k,
appliances,B,1,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,$300-$1k,
appliances,A,1266,31,995.75,0.0,995.75,0.02448657187993681,0.7865323854660348,category_top+price_bucket,<$25,
appliances,B,1272,304,5993.85,1198.7700000000002,4795.08,0.2389937106918239,3.7697169811320754,category_top+price_bucket,<$25,
appliances,A,8,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,nan,
appliances,B,4,1,0.0,0.0,0.0,0.25,0.0,category_top+price_bucket,nan,
furniture,A,619,5,1169.12,0.0,1169.12,0.008077544426494346,1.8887237479806138,category_top+price_bucket,$100-$300,
furniture,B,551,68,18494.64,3148.458,15346.182,0.12341197822141561,27.85150998185118,category_top+price_bucket,$100-$300,
furniture,A,702,13,847.09,0.0,847.09,0.018518518518518517,1.2066809116809116,category_top+price_bucket,$25-$100,
furniture,B,751,127,9248.82,1849.7640000000001,7399.0560000000005,0.16910785619174434,9.852271637816246,category_top+price_bucket,$25-$100,
furniture,A,305,16,456.31,0.0,456.31,0.05245901639344262,1.4960983606557376,category_top+price_bucket,<$25,
furniture,B,344,96,1394.67,278.934,1115.736,0.27906976744186046,3.243418604651163,category_top+price_bucket,<$25,
furniture,A,3,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,nan,
furniture,B,2,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,nan,
stationery,A,3,1,13.38,0.0,13.38,0.3333333333333333,4.46,category_top+price_bucket,$100-$300,
stationery,B,1,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,$100-$300,
stationery,A,25,8,309.2,0.0,309.2,0.32,12.368,category_top+price_bucket,$25-$100,
